Original_Date,Year,Month,Day,Site,Actitis macularius,Agelasticus cyanopus,Chionomesa lactea,Amazonetta brasiliensis,Anas bahamensis,Anas flavirostris,Anas georgica,Spatula versicolor,Anhinga anhinga,Aramides cajaneus,Aramides saracura,Aramus guarauna,Ardea alba,Ardea cocoi,Bartramia longicauda,Ardea ibis,Butorides striata,Cairina moschata,Calidris fuscicollis,Calidris himantopus,Calidris melanotos,Camptostoma obsoletum,Caracara plancus,Anarhynchus collaris,Chloroceryle amazona,Chloroceryle americana,Chrysomus ruficapillus,Conirostrum speciosum,Coragyps atratus,Cyclarhis gujanensis,Dendrocygna autumnalis,Dendrocygna bicolor,Dendrocygna viduata,Donacobius atricapilla,Dryocopus lineatus,Egretta thula,Elaenia flavogaster,Elaenia mesoleuca,Elaenia spectabilis,Empidonomus varius,Falco femoralis,Forpus xanthopterygius,Furnarius figulus,Gallinula galeata,Gallinago paraguaiae,Alopochen aegyptiaca,Himantopus mexicanus melanurus,Hirundo rustica,Icterus jamacaii,Ictinia plumbea,Jacana jacana,Laterallus melanophaius,Megaceryle torquata,Melanerpes candidus,Mesembrinibis cayennensis,Molothrus bonariensis,Myiarchus ferox,Myiarchus swainsoni,Myiodynastes maculatus,Myiophobus fasciatus,Nannopterum brasilianum,Nycticorax nycticorax,Parabuteo unicinctus,Pardirallus nigricans,Pardirallus sanguinolentus,Paroaria coronata,Patagioenas picazuro,Phacellodomus ferrugineigula,Phalaropus tricolor,Phimosus infuscatus,Pionus maximiliani,Pitangus sulphuratus,Platalea ajaja,Pluvialis dominica,Podilymbus podiceps,Porphyrio martinica,Psittacara leucophthalmus,Pyrocephalus rubinus,Pyroderus scutatus,Ramphastos dicolorus,Ramphocelus bresilia,Rostrhamus sociabilis,Rynchops niger,Satrapa icterophrys,Serpophaga subcristata,Sicalis flaveola,Syrigma sibilatrix,Spinus magellanicus,Streptoprocne zonaris,Tachybaptus dominicus,Tachycineta leucorrhoa,Tapera naevia,Thamnophilus ruficapillus,Theristicus caudatus,Tigrisoma lineatum,Tringa flavipes,Tringa melanoleuca,Tringa solitaria,Turdus amaurochalinus,Turdus flavipes,Tyrannus melancholicus,Tyrannus savana,Vanellus chilensis,Veniliornis spilogaster,Vireo chivi,Volatinia jacarina
19/03/2004,2004,March,19,Embu,,,,2,,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,2,,,,4,,,,,,,,5,,,44,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,1,14,,,,,,12,,,
12/9/05,2005,September,12,Embu,,,,25,24,,,,,,,,,,,,,,,,,,,,,,,,,,,50,300,,,,,,,,,,,200,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,150,300,1,,,,,150,,,
10/8/05,2005,August,10,Embu,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,
11/22/05,2005,November,22,Embu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,120,,,,,,,,,
11/25/05,2005,November,25,Embu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,100,200,,,,,,,,,
26/03/2006,2006,March,26,Embu,,,,6,4,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,60,150,1,,,,,80,,,
23/01/2006,2006,January,23,Embu,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/06,2006,February,112,Embu,,,,45,26,,,,,2,,,1,1,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,220,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,210,1,,,,,200,,,
2/12/06,2006,February,12,PET,,,,1,1,,,,1,,,11,4,,,,3,,,,,,,,,,,,,,,4,1,,,5,,,,,,,,29,1,,,,,,9,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,119,,,
2/21/06,2006,February,21,Embu,,,,,4,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,200,,,,,,,,,
5/20/06,2006,May,20,Embu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
6/6/06,2006,June,6,Embu,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/30/06,2006,July,30,Embu,,,,24,57,,,,,,,,6,,,,,,,,,,,,,,,,,,,,16,,,6,,,,,,,,18,8,,200,,,,11,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,56,,,
9/20/06,2006,September,20,Embu,,,,,24,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,1,,,,,,,,
10/21/06,2006,October,21,Embu,,,,,8,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,4,,,,,,,,
2/11/07,2007,February,11,Embu,,,,60,2,,,,,,,,4,1,8,25,2,,,,,,,,,,,,,,,,18,,,,,,,,,,,,18,,200,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,250,2,,,,,,,,
2/12/07,2007,February,12,PET,1,,,3,54,,,,1,,,3,1,,,,7,,,,3,,,,2,,,,,,,38,4,,,2,,,,,,,,142,,,17,,,,10,,,,,,,,,,1,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,41,27,7,,,,,58,,,
2/17/07,2007,February,17,Embu,,,,80,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,250,,,,,,,,,
3/15/07,2007,March,15,Embu,,,,4,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,180,1,,,,,,,,
4/11/07,2007,April,11,Embu,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,20,,,,,,,,,
5/13/07,2007,May,13,Embu,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,,12,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/07,2007,June,11,Embu,,,,45,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,16,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/07,2007,June,11,PET,,,,60,64,1,,6,1,,,,6,,,,,,,,,,,,,,,,,,,4,,,,26,,,,,,,,450,2,,4,,,,32,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/10/07,2007,July,10,Embu,,,,30,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,1,20,,,,,,10,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/10/07,2007,July,10,PET,,,,105,41,,,3,1,,,,6,,,,,,,,,,,,,,,,,,,4,,,,16,,,,,,,,423,,,,,,,8,,,,,,,,,,32,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/21/07,2007,July,21,PET,,,,85,53,,,2,2,,,1,4,1,,,1,,,,,,,,,,,,,,,9,,,,,,,,,,,,245,,,,,,,4,,,,,,,,,,17,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/31/07,2007,July,31,Embu,,,,10,,,,,,,,,2,1,,4,,,,,,,,,,,,,,,,,,,,4,,,,,,,,4,22,,100,,,,9,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
8/25/07,2007,August,25,Embu,,,,4,,,,,,,,,2,,,4,,,,,,,,,,,,,,,,,3,,,2,,,,,,,,8,20,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,10,3,,,,,,,,
8/25/07,2007,August,25,PET,,,,84,36,,,5,2,,,2,2,,,,,,,,,,,,,,,,,,,16,,,,10,,,,,,,,703,,,1,,,,16,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/07,2007,September,30,Embu,12,,,23,2,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,18,26,,,,,,6,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,
9/30/07,2007,September,30,PET,1,1,,41,8,,,1,1,1,,6,5,2,,,1,,,,,,,,,,,,,,,13,,,,9,,,,,,,,617,,,,,,,22,,,,,,,,,,8,,,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,10,2,,,,,,,,,
10/3/07,2007,October,3,PET,1,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,37,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,
10/6/07,2007,October,6,PET,1,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,24,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,
10/14/07,2007,October,14,PET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/07,2007,October,21,PET,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
10/28/07,2007,October,28,Embu,2,,,12,3,,,,,,,,6,,1,6,,,,,,,,,,,,,,,,,4,,,,,,,,,,,25,8,,4,,,,6,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,90,8,,,,,,,,
10/28/07,2007,October,28,PET,1,,,14,12,,,,,,,,2,,,,1,,,,,,,,,,,,,,,17,8,,,3,,,,,,,,,,,,,,,2,,,,,,,,,,5,,,2,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,2,,,,,,,,,
11/25/07,2007,November,25,Embu,,,,8,,,,,,,,,2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,10,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,35,4,,,,,,,,
11/25/07,2007,November,25,PET,4,,,32,16,,,,,,,,2,,,,2,,,,1,,,,,,,,,,,15,18,,,2,,,,,,,,235,,,,,,,10,,,,,,,,,,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,
12/9/07,2007,December,9,Embu,3,,,12,4,,,,,,,,2,1,1,,1,,,,,,,,,,,,,,,,6,,,,,,,,,,,25,7,,,,,,18,,,,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,35,3,,,,,,,,
12/9/07,2007,December,9,PET,4,,,39,8,,,,,,,4,3,1,,,4,,,,,,,,,,,,,,,20,12,,,2,,,,,,,,134,,,3,,,,21,,,,,,,,,,8,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,
1/6/08,2008,January,6,Embu,1,,,4,,,,,,,,,3,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,7,,30,,,,18,,,,,,,,,,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,65,1,,,,,,,,
1/6/08,2008,January,6,PET,10,,,51,41,,,4,,,,2,3,2,,,3,,,,,,,,,,,,,,,10,18,,,5,,,,,,,,325,,,13,,,,30,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,50,2,,,,,,,,
2/10/08,2008,February,10,PET,,,,2,17,1,,,1,,,1,4,1,,,2,,,,,,,,1,,,,,,,9,50,,,3,,,,,,,,88,,,15,,,,11,,,,,,,,,,7,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,33,,,,,,27,,,
2/24/08,2008,February,24,Embu,1,,,8,1,,,,,1,,,,1,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,6,10,,60,,,,4,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,80,7,,,,,,,,
2/24/08,2008,February,24,PET,1,,,25,16,,,1,2,,,3,3,3,,,4,,,,,,,,,,,,,,2,64,22,,,1,,,,,,,,80,,,37,,,,,,,,,,,,,,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,1,,,,,,,,
3/13/08,2008,March,13,Embu,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,35,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,30,1,,,,,,,,
4/8/08,2008,April,8,Embu,,,,2,,,,,,,,,2,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,30,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,6,1,,,,,,,,
4/8/08,2008,April,8,PET,,,,56,180,2,,6,,,,2,2,1,,,,,2,,,,,,,,,,,,2,42,65,,,3,,,,,,,,225,,2,10,,,,11,,,,,,,,,,2,4,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,65,23,1,,,,,,,,
4/12/08,2008,April,12,PET,,,,30,160,3,,16,,,,,3,1,,,3,,,,,,,,,,,,,,10,25,15,,,1,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,46,30,,,,,,,,,
4/16/08,2008,April,16,PET,,,,25,72,1,,12,,,,,4,1,,,2,,,,,,,,,,,,,,,8,4,,,1,,,,,,,,186,,,31,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,45,,,,,,,,,
4/24/08,2008,April,24,Embu,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,30,,,,15,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
5/3/08,2008,May,3,Embu,,,,,,,,,,,,,,1,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,,,,,,3,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,
5/3/08,2008,May,3,PET,,,,35,70,2,,1,,,,,4,,,,,,,,,,,,,,,,,,,12,4,,,18,,,,,,,,200,,2,2,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/08,2008,May,30,Embu,,,,14,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,17,,45,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/08,2008,May,30,PET,,,,40,111,7,,,,,,,1,1,,,1,,,,,,,,,,,,,,,2,25,,,,,,,,,,,370,,,8,,,,14,,,,,,,,,,12,1,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/20/08,2008,July,20,PET,,,,48,30,,,,3,,,3,1,,,,3,,,,,,,,,,,,,,,1,,,,10,,,,,,,,282,,,11,,,,5,,1,,,,,,,,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,
8/10/08,2008,August,10,PET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/08,2008,August,14,Embu,,,,,8,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,8,,70,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,26,,,,,,,,,,
8/14/08,2008,August,14,PET,,,,31,83,,,,2,,,3,2,1,,,,,,,,,,,,,,,,,,8,,,,6,,,,,,,,275,,,10,,,,4,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/08,2008,September,30,Embu,13,,,23,2,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,18,25,,,,,,6,4,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,
9/30/08,2008,September,30,PET,,,,41,8,,,1,1,1,,,7,2,,,1,,,,,,,,,,,,,,,13,,,,9,,,,,,,,622,,,,,,,22,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,,,,,,,,,
9/7/08,2008,September,7,Embu,,,,2,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,8,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,20,2,,,,,,,,
9/7/08,2008,September,7,PET,,,,45,14,,,,,,,,2,,,,4,,,,,,,,,,,,,,,2,,,,10,,,,,,,,290,,,,,,,8,,,,,,,,,,14,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/08,2008,October,4,Embu,2,,,12,,,,,,,,,4,,,5,3,,,,,,2,,,,,,,,,,,,,2,,,,,,,,7,6,,7,,,,8,,,,,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,30,1,,,,,18,,,
10/4/08,2008,October,4,PET,2,,,24,4,,,,1,,,4,1,,,,2,,,,,,,,,,,,,,,8,11,,,4,,,,,,,,251,1,,2,,,,10,,,,,,,,,,7,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,9,,3,,,,,,,,
10/25/08,2008,October,25,Embu,1,,,,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,12,,,4,,,,,,,,6,6,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,30,1,,,,,,,,
10/25/08,2008,October,25,PET,,,,15,14,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,8,21,,,,,,,,,,,275,,,3,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,60,,2,,,,,,,,
11/8/08,2008,November,8,Embu,,,,45,2,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,25,,,,,,,,,
11/8/08,2008,November,8,PET,1,,,30,8,,,1,,,,2,7,,,,1,,,,,,,,,,,,,,,8,6,,,4,,,,,,,,,,,,,,,9,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,
12/21/08,2008,December,21,Embu,,,,40,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,30,6,,,,,,,,
12/21/08,2008,December,21,PET,,,,10,10,,,5,,,,,,1,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,80,,,10,,,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,65,,,,,,,,,,
1/7/09,2009,January,7,Embu,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,5,1,,,,,,,,
1/7/09,2009,January,7,PET,1,,,10,10,,,4,,,,1,1,,,,2,,,,,,,,,,,,,,,4,30,,,,,,,,,,,145,,,25,,,,8,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,18,,2,,,,,,,,
2/1/09,2009,February,1,PET,,,,5,21,,,,2,,,5,6,,,,2,,,,,,,,,,,,,,,2,4,,,,,,,,,,,49,,,48,,,,4,1,,,,,,,,,8,1,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,1,,,,,,73,6,1,,,,,20,,,
2/7/09,2009,February,7,Embu,,,,,5,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,,4,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,1,,,,,4,,,
2/7/09,2009,February,7,PET,,,,32,5,,,6,,,,,2,,,,,,,,,,,,,,,,,,,18,35,,,4,,,,,,,,105,,,16,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,1,,,,,,,,
3/1/09,2009,March,1,Embu,,,,28,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,,,,,,4,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,6,2,,,,,,,,
3/1/09,2009,March,1,PET,,,,30,57,,,24,,,,,2,,,,,,,,,,,,,,,,,,,28,35,,,2,,,,,,,,61,,,11,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,
